Hourly measurement data supplied by UK-air on 22/12/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Barnsley Road",,"Sheffield Devonshire Green",,"Sheffield Tinsley",
Latitude,,53.404950,,53.378622,,53.410580,,
Longitude,,-1.455815,,-1.478096,,-1.396139,,
Site Type,,Urban Traffic,,Urban Background,,Urban Background,,
Zone,,Yorkshire & Humberside,,Yorkshire & Humberside,,Yorkshire & Humberside,,
Agglomeration,,Sheffield Urban Area,,Sheffield Urban Area,,Sheffield Urban Area,,
Local Authority,,"Sheffield",,"Sheffield",,"Sheffield",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2023-01-01,01:00:00,16,V ugm-3 (BAM),4.741,V ugm-3 (Ref.eq),4.717,V ugm-3 (Ref.eq)
2023-01-01,02:00:00,5,V ugm-3 (BAM),2.123,V ugm-3 (Ref.eq),2.075,V ugm-3 (Ref.eq)
2023-01-01,03:00:00,2,V ugm-3 (BAM),1.792,V ugm-3 (Ref.eq),1.863,V ugm-3 (Ref.eq)
2023-01-01,04:00:00,2,V ugm-3 (BAM),2.17,V ugm-3 (Ref.eq),1.981,V ugm-3 (Ref.eq)
2023-01-01,05:00:00,0,V ugm-3 (BAM),1.934,V ugm-3 (Ref.eq),2.005,V ugm-3 (Ref.eq)
2023-01-01,06:00:00,1,V ugm-3 (BAM),2.241,V ugm-3 (Ref.eq),2.382,V ugm-3 (Ref.eq)
2023-01-01,07:00:00,1,V ugm-3 (BAM),3.042,V ugm-3 (Ref.eq),3.302,V ugm-3 (Ref.eq)
2023-01-01,08:00:00,2,V ugm-3 (BAM),3.443,V ugm-3 (Ref.eq),3.373,V ugm-3 (Ref.eq)
2023-01-01,09:00:00,2,V ugm-3 (BAM),3.113,V ugm-3 (Ref.eq),3.278,V ugm-3 (Ref.eq)
2023-01-01,10:00:00,4,V ugm-3 (BAM),3.491,V ugm-3 (Ref.eq),3.467,V ugm-3 (Ref.eq)
2023-01-01,11:00:00,5,V ugm-3 (BAM),3.797,V ugm-3 (Ref.eq),4.552,V ugm-3 (Ref.eq)
2023-01-01,12:00:00,3,V ugm-3 (BAM),3.443,V ugm-3 (Ref.eq),4.009,V ugm-3 (Ref.eq)
2023-01-01,13:00:00,2,V ugm-3 (BAM),2.877,V ugm-3 (Ref.eq),3.561,V ugm-3 (Ref.eq)
2023-01-01,14:00:00,3,V ugm-3 (BAM),2.854,V ugm-3 (Ref.eq),2.972,V ugm-3 (Ref.eq)
2023-01-01,15:00:00,6,V ugm-3 (BAM),4.575,V ugm-3 (Ref.eq),4.859,V ugm-3 (Ref.eq)
2023-01-01,16:00:00,5,V ugm-3 (BAM),5.047,V ugm-3 (Ref.eq),5.401,V ugm-3 (Ref.eq)
2023-01-01,17:00:00,7,V ugm-3 (BAM),4.127,V ugm-3 (Ref.eq),4.481,V ugm-3 (Ref.eq)
2023-01-01,18:00:00,6,V ugm-3 (BAM),7.076,V ugm-3 (Ref.eq),6.156,V ugm-3 (Ref.eq)
2023-01-01,19:00:00,14,V ugm-3 (BAM),11.156,V ugm-3 (Ref.eq),8.75,V ugm-3 (Ref.eq)
2023-01-01,20:00:00,9,V ugm-3 (BAM),7.17,V ugm-3 (Ref.eq),7.453,V ugm-3 (Ref.eq)
2023-01-01,21:00:00,11,V ugm-3 (BAM),10.236,V ugm-3 (Ref.eq),8.019,V ugm-3 (Ref.eq)
2023-01-01,22:00:00,11,V ugm-3 (BAM),10.377,V ugm-3 (Ref.eq),8.703,V ugm-3 (Ref.eq)
2023-01-01,23:00:00,8,V ugm-3 (BAM),7.264,V ugm-3 (Ref.eq),6.203,V ugm-3 (Ref.eq)
2023-01-01,24:00:00,8,V ugm-3 (BAM),4.575,V ugm-3 (Ref.eq),5.189,V ugm-3 (Ref.eq)
2023-01-02,01:00:00,8,V ugm-3 (BAM),4.882,V ugm-3 (Ref.eq),4.575,V ugm-3 (Ref.eq)
2023-01-02,02:00:00,6,V ugm-3 (BAM),4.953,V ugm-3 (Ref.eq),4.67,V ugm-3 (Ref.eq)
2023-01-02,03:00:00,6,V ugm-3 (BAM),4.788,V ugm-3 (Ref.eq),5.519,V ugm-3 (Ref.eq)
2023-01-02,04:00:00,6,V ugm-3 (BAM),3.255,V ugm-3 (Ref.eq),4.387,V ugm-3 (Ref.eq)
2023-01-02,05:00:00,3,V ugm-3 (BAM),2.123,V ugm-3 (Ref.eq),2.193,V ugm-3 (Ref.eq)
2023-01-02,06:00:00,2,V ugm-3 (BAM),2.877,V ugm-3 (Ref.eq),2.736,V ugm-3 (Ref.eq)
2023-01-02,07:00:00,3,V ugm-3 (BAM),2.241,V ugm-3 (Ref.eq),2.925,V ugm-3 (Ref.eq)
2023-01-02,08:00:00,3,V ugm-3 (BAM),1.557,V ugm-3 (Ref.eq),2.005,V ugm-3 (Ref.eq)
2023-01-02,09:00:00,4,V ugm-3 (BAM),1.392,V ugm-3 (Ref.eq),1.439,V ugm-3 (Ref.eq)
2023-01-02,10:00:00,4,V ugm-3 (BAM),1.038,V ugm-3 (Ref.eq),1.274,V ugm-3 (Ref.eq)
2023-01-02,11:00:00,1,V ugm-3 (BAM),1.156,V ugm-3 (Ref.eq),1.509,V ugm-3 (Ref.eq)
2023-01-02,12:00:00,-1,V ugm-3 (BAM),1.226,V ugm-3 (Ref.eq),1.321,V ugm-3 (Ref.eq)
2023-01-02,13:00:00,0,V ugm-3 (BAM),1.415,V ugm-3 (Ref.eq),1.651,V ugm-3 (Ref.eq)
2023-01-02,14:00:00,5,V ugm-3 (BAM),1.557,V ugm-3 (Ref.eq),1.934,V ugm-3 (Ref.eq)
2023-01-02,15:00:00,7,V ugm-3 (BAM),2.311,V ugm-3 (Ref.eq),3.09,V ugm-3 (Ref.eq)
2023-01-02,16:00:00,10,V ugm-3 (BAM),2.193,V ugm-3 (Ref.eq),3.443,V ugm-3 (Ref.eq)
2023-01-02,17:00:00,25,V ugm-3 (BAM),6.132,V ugm-3 (Ref.eq),6.462,V ugm-3 (Ref.eq)
2023-01-02,18:00:00,18,V ugm-3 (BAM),15.566,V ugm-3 (Ref.eq),9.151,V ugm-3 (Ref.eq)
2023-01-02,19:00:00,25,V ugm-3 (BAM),19.127,V ugm-3 (Ref.eq),11.887,V ugm-3 (Ref.eq)
2023-01-02,20:00:00,27,V ugm-3 (BAM),13.066,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq)
2023-01-02,21:00:00,24,V ugm-3 (BAM),15.66,V ugm-3 (Ref.eq),21.627,V ugm-3 (Ref.eq)
2023-01-02,22:00:00,23,V ugm-3 (BAM),13.962,V ugm-3 (Ref.eq),20,V ugm-3 (Ref.eq)
2023-01-02,23:00:00,21,V ugm-3 (BAM),12.264,V ugm-3 (Ref.eq),14.741,V ugm-3 (Ref.eq)
2023-01-02,24:00:00,20,V ugm-3 (BAM),11.509,V ugm-3 (Ref.eq),14.269,V ugm-3 (Ref.eq)
2023-01-03,01:00:00,16,V ugm-3 (BAM),10.59,V ugm-3 (Ref.eq),17.264,V ugm-3 (Ref.eq)
2023-01-03,02:00:00,14,V ugm-3 (BAM),11.297,V ugm-3 (Ref.eq),18.302,V ugm-3 (Ref.eq)
2023-01-03,03:00:00,14,V ugm-3 (BAM),12.854,V ugm-3 (Ref.eq),17.028,V ugm-3 (Ref.eq)
2023-01-03,04:00:00,17,V ugm-3 (BAM),17.736,V ugm-3 (Ref.eq),15.731,V ugm-3 (Ref.eq)
2023-01-03,05:00:00,17,V ugm-3 (BAM),17.854,V ugm-3 (Ref.eq),14.222,V ugm-3 (Ref.eq)
2023-01-03,06:00:00,21,V ugm-3 (BAM),14.127,V ugm-3 (Ref.eq),12.241,V ugm-3 (Ref.eq)
2023-01-03,07:00:00,11,V ugm-3 (BAM),11.344,V ugm-3 (Ref.eq),12.406,V ugm-3 (Ref.eq)
2023-01-03,08:00:00,11,V ugm-3 (BAM),9.811,V ugm-3 (Ref.eq),10.613,V ugm-3 (Ref.eq)
2023-01-03,09:00:00,9,V ugm-3 (BAM),8.703,V ugm-3 (Ref.eq),10.708,V ugm-3 (Ref.eq)
2023-01-03,10:00:00,7,V ugm-3 (BAM),6.439,V ugm-3 (Ref.eq),8.774,V ugm-3 (Ref.eq)
2023-01-03,11:00:00,7,V ugm-3 (BAM),3.892,V ugm-3 (Ref.eq),4.953,V ugm-3 (Ref.eq)
2023-01-03,12:00:00,6,V ugm-3 (BAM),4.717,V ugm-3 (Ref.eq),8.231,V ugm-3 (Ref.eq)
2023-01-03,13:00:00,4,V ugm-3 (BAM),5.637,V ugm-3 (Ref.eq),8.491,V ugm-3 (Ref.eq)
2023-01-03,14:00:00,3,V ugm-3 (BAM),2.429,V ugm-3 (Ref.eq),5.896,V ugm-3 (Ref.eq)
2023-01-03,15:00:00,12,V ugm-3 (BAM),2.382,V ugm-3 (Ref.eq),8.609,V ugm-3 (Ref.eq)
2023-01-03,16:00:00,7,V ugm-3 (BAM),2.429,V ugm-3 (Ref.eq),6.792,V ugm-3 (Ref.eq)
2023-01-03,17:00:00,1,V ugm-3 (BAM),2.5,V ugm-3 (Ref.eq),3.491,V ugm-3 (Ref.eq)
2023-01-03,18:00:00,3,V ugm-3 (BAM),2.359,V ugm-3 (Ref.eq),2.925,V ugm-3 (Ref.eq)
2023-01-03,19:00:00,5,V ugm-3 (BAM),2.123,V ugm-3 (Ref.eq),3.373,V ugm-3 (Ref.eq)
2023-01-03,20:00:00,7,V ugm-3 (BAM),1.627,V ugm-3 (Ref.eq),2.972,V ugm-3 (Ref.eq)
2023-01-03,21:00:00,7,V ugm-3 (BAM),1.321,V ugm-3 (Ref.eq),2.406,V ugm-3 (Ref.eq)
2023-01-03,22:00:00,4,V ugm-3 (BAM),0.708,V ugm-3 (Ref.eq),3.325,V ugm-3 (Ref.eq)
2023-01-03,23:00:00,2,V ugm-3 (BAM),0.401,V ugm-3 (Ref.eq),1.557,V ugm-3 (Ref.eq)
2023-01-03,24:00:00,0,V ugm-3 (BAM),0.33,V ugm-3 (Ref.eq),0.708,V ugm-3 (Ref.eq)
2023-01-04,01:00:00,1,V ugm-3 (BAM),0.283,V ugm-3 (Ref.eq),0.778,V ugm-3 (Ref.eq)
2023-01-04,02:00:00,2,V ugm-3 (BAM),0.236,V ugm-3 (Ref.eq),0.566,V ugm-3 (Ref.eq)
2023-01-04,03:00:00,0,V ugm-3 (BAM),0.142,V ugm-3 (Ref.eq),0.472,V ugm-3 (Ref.eq)
2023-01-04,04:00:00,-3,V ugm-3 (BAM),0.189,V ugm-3 (Ref.eq),0.401,V ugm-3 (Ref.eq)
2023-01-04,05:00:00,-3,V ugm-3 (BAM),0.802,V ugm-3 (Ref.eq),1.014,V ugm-3 (Ref.eq)
2023-01-04,06:00:00,3,V ugm-3 (BAM),2.854,V ugm-3 (Ref.eq),3.255,V ugm-3 (Ref.eq)
2023-01-04,07:00:00,3,V ugm-3 (BAM),3.844,V ugm-3 (Ref.eq),4.717,V ugm-3 (Ref.eq)
2023-01-04,08:00:00,5,V ugm-3 (BAM),6.132,V ugm-3 (Ref.eq),6.958,V ugm-3 (Ref.eq)
2023-01-04,09:00:00,6,V ugm-3 (BAM),5.566,V ugm-3 (Ref.eq),6.627,V ugm-3 (Ref.eq)
2023-01-04,10:00:00,5,V ugm-3 (BAM),5.472,V ugm-3 (Ref.eq),6.297,V ugm-3 (Ref.eq)
2023-01-04,11:00:00,4,V ugm-3 (BAM),5.377,V ugm-3 (Ref.eq),6.392,V ugm-3 (Ref.eq)
2023-01-04,12:00:00,6,V ugm-3 (BAM),5.66,V ugm-3 (Ref.eq),6.533,V ugm-3 (Ref.eq)
2023-01-04,13:00:00,5,V ugm-3 (BAM),5.896,V ugm-3 (Ref.eq),6.179,V ugm-3 (Ref.eq)
2023-01-04,14:00:00,7,V ugm-3 (BAM),4.859,V ugm-3 (Ref.eq),5.401,V ugm-3 (Ref.eq)
2023-01-04,15:00:00,6,V ugm-3 (BAM),3.113,V ugm-3 (Ref.eq),4.151,V ugm-3 (Ref.eq)
2023-01-04,16:00:00,6,V ugm-3 (BAM),3.892,V ugm-3 (Ref.eq),3.939,V ugm-3 (Ref.eq)
2023-01-04,17:00:00,5,V ugm-3 (BAM),4.104,V ugm-3 (Ref.eq),3.939,V ugm-3 (Ref.eq)
2023-01-04,18:00:00,5,V ugm-3 (BAM),4.481,V ugm-3 (Ref.eq),4.34,V ugm-3 (Ref.eq)
2023-01-04,19:00:00,4,V ugm-3 (BAM),4.552,V ugm-3 (Ref.eq),4.646,V ugm-3 (Ref.eq)
2023-01-04,20:00:00,6,V ugm-3 (BAM),4.458,V ugm-3 (Ref.eq),4.859,V ugm-3 (Ref.eq)
2023-01-04,21:00:00,8,V ugm-3 (BAM),4.505,V ugm-3 (Ref.eq),4.788,V ugm-3 (Ref.eq)
2023-01-04,22:00:00,5,V ugm-3 (BAM),3.821,V ugm-3 (Ref.eq),4.127,V ugm-3 (Ref.eq)
2023-01-04,23:00:00,2,V ugm-3 (BAM),3.703,V ugm-3 (Ref.eq),3.986,V ugm-3 (Ref.eq)
2023-01-04,24:00:00,4,V ugm-3 (BAM),3.797,V ugm-3 (Ref.eq),3.797,V ugm-3 (Ref.eq)
2023-01-05,01:00:00,4,V ugm-3 (BAM),3.656,V ugm-3 (Ref.eq),3.491,V ugm-3 (Ref.eq)
2023-01-05,02:00:00,2,V ugm-3 (BAM),3.373,V ugm-3 (Ref.eq),3.538,V ugm-3 (Ref.eq)
2023-01-05,03:00:00,2,V ugm-3 (BAM),3.231,V ugm-3 (Ref.eq),3.656,V ugm-3 (Ref.eq)
2023-01-05,04:00:00,5,V ugm-3 (BAM),3.538,V ugm-3 (Ref.eq),3.797,V ugm-3 (Ref.eq)
2023-01-05,05:00:00,4,V ugm-3 (BAM),3.585,V ugm-3 (Ref.eq),3.797,V ugm-3 (Ref.eq)
2023-01-05,06:00:00,5,V ugm-3 (BAM),3.915,V ugm-3 (Ref.eq),4.222,V ugm-3 (Ref.eq)
2023-01-05,07:00:00,5,V ugm-3 (BAM),3.915,V ugm-3 (Ref.eq),5.236,V ugm-3 (Ref.eq)
2023-01-05,08:00:00,3,V ugm-3 (BAM),4.34,V ugm-3 (Ref.eq),4.859,V ugm-3 (Ref.eq)
2023-01-05,09:00:00,10,V ugm-3 (BAM),6.368,V ugm-3 (Ref.eq),7.453,V ugm-3 (Ref.eq)
2023-01-05,10:00:00,9,V ugm-3 (BAM),7.406,V ugm-3 (Ref.eq),8.373,V ugm-3 (Ref.eq)
2023-01-05,11:00:00,8,V ugm-3 (BAM),6.274,V ugm-3 (Ref.eq),7.736,V ugm-3 (Ref.eq)
2023-01-05,12:00:00,5,V ugm-3 (BAM),4.953,V ugm-3 (Ref.eq),5.307,V ugm-3 (Ref.eq)
2023-01-05,13:00:00,9,V ugm-3 (BAM),3.939,V ugm-3 (Ref.eq),5.024,V ugm-3 (Ref.eq)
2023-01-05,14:00:00,8,V ugm-3 (BAM),4.033,V ugm-3 (Ref.eq),4.41,V ugm-3 (Ref.eq)
2023-01-05,15:00:00,6,V ugm-3 (BAM),3.797,V ugm-3 (Ref.eq),4.859,V ugm-3 (Ref.eq)
2023-01-05,16:00:00,3,V ugm-3 (BAM),2.665,V ugm-3 (Ref.eq),4.316,V ugm-3 (Ref.eq)
2023-01-05,17:00:00,1,V ugm-3 (BAM),2.524,V ugm-3 (Ref.eq),3.066,V ugm-3 (Ref.eq)
2023-01-05,18:00:00,2,V ugm-3 (BAM),2.807,V ugm-3 (Ref.eq),3.373,V ugm-3 (Ref.eq)
2023-01-05,19:00:00,2,V ugm-3 (BAM),2.288,V ugm-3 (Ref.eq),2.689,V ugm-3 (Ref.eq)
2023-01-05,20:00:00,2,V ugm-3 (BAM),2.193,V ugm-3 (Ref.eq),2.759,V ugm-3 (Ref.eq)
2023-01-05,21:00:00,4,V ugm-3 (BAM),2.193,V ugm-3 (Ref.eq),2.406,V ugm-3 (Ref.eq)
2023-01-05,22:00:00,7,V ugm-3 (BAM),2.453,V ugm-3 (Ref.eq),2.406,V ugm-3 (Ref.eq)
2023-01-05,23:00:00,4,V ugm-3 (BAM),1.91,V ugm-3 (Ref.eq),2.028,V ugm-3 (Ref.eq)
2023-01-05,24:00:00,2,V ugm-3 (BAM),0.59,V ugm-3 (Ref.eq),0.912,V ugm-3 (Ref.eq)
2023-01-06,01:00:00,0,V ugm-3 (BAM),0.755,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq)
2023-01-06,02:00:00,1,V ugm-3 (BAM),1.816,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq)
2023-01-06,03:00:00,2,V ugm-3 (BAM),2.594,V ugm-3 (Ref.eq),3.113,V ugm-3 (Ref.eq)
2023-01-06,04:00:00,5,V ugm-3 (BAM),3.679,V ugm-3 (Ref.eq),4.033,V ugm-3 (Ref.eq)
2023-01-06,05:00:00,4,V ugm-3 (BAM),4.033,V ugm-3 (Ref.eq),4.316,V ugm-3 (Ref.eq)
2023-01-06,06:00:00,2,V ugm-3 (BAM),4.269,V ugm-3 (Ref.eq),4.882,V ugm-3 (Ref.eq)
2023-01-06,07:00:00,5,V ugm-3 (BAM),5.024,V ugm-3 (Ref.eq),5.613,V ugm-3 (Ref.eq)
2023-01-06,08:00:00,6,V ugm-3 (BAM),5.472,V ugm-3 (Ref.eq),7.099,V ugm-3 (Ref.eq)
2023-01-06,09:00:00,5,V ugm-3 (BAM),5.873,V ugm-3 (Ref.eq),8.302,V ugm-3 (Ref.eq)
2023-01-06,10:00:00,4,V ugm-3 (BAM),5.448,V ugm-3 (Ref.eq),7.995,V ugm-3 (Ref.eq)
2023-01-06,11:00:00,5,V ugm-3 (BAM),4.599,V ugm-3 (Ref.eq),5.542,V ugm-3 (Ref.eq)
2023-01-06,12:00:00,5,V ugm-3 (BAM),4.08,V ugm-3 (Ref.eq),6.84,V ugm-3 (Ref.eq)
2023-01-06,13:00:00,3,V ugm-3 (BAM),3.538,V ugm-3 (Ref.eq),4.245,V ugm-3 (Ref.eq)
2023-01-06,14:00:00,2,V ugm-3 (BAM),2.453,V ugm-3 (Ref.eq),2.783,V ugm-3 (Ref.eq)
2023-01-06,15:00:00,3,V ugm-3 (BAM),2.594,V ugm-3 (Ref.eq),3.373,V ugm-3 (Ref.eq)
2023-01-06,16:00:00,8,V ugm-3 (BAM),2.594,V ugm-3 (Ref.eq),3.16,V ugm-3 (Ref.eq)
2023-01-06,17:00:00,10,V ugm-3 (BAM),4.057,V ugm-3 (Ref.eq),4.127,V ugm-3 (Ref.eq)
2023-01-06,18:00:00,10,V ugm-3 (BAM),4.976,V ugm-3 (Ref.eq),3.986,V ugm-3 (Ref.eq)
2023-01-06,19:00:00,8,V ugm-3 (BAM),6.934,V ugm-3 (Ref.eq),4.811,V ugm-3 (Ref.eq)
2023-01-06,20:00:00,7,V ugm-3 (BAM),7.146,V ugm-3 (Ref.eq),4.387,V ugm-3 (Ref.eq)
2023-01-06,21:00:00,6,V ugm-3 (BAM),7.972,V ugm-3 (Ref.eq),5.307,V ugm-3 (Ref.eq)
2023-01-06,22:00:00,9,V ugm-3 (BAM),11.344,V ugm-3 (Ref.eq),7.712,V ugm-3 (Ref.eq)
2023-01-06,23:00:00,6,V ugm-3 (BAM),5.236,V ugm-3 (Ref.eq),3.797,V ugm-3 (Ref.eq)
2023-01-06,24:00:00,3,V ugm-3 (BAM),2.406,V ugm-3 (Ref.eq),2.571,V ugm-3 (Ref.eq)
2023-01-07,01:00:00,1,V ugm-3 (BAM),1.958,V ugm-3 (Ref.eq),1.769,V ugm-3 (Ref.eq)
2023-01-07,02:00:00,-1,V ugm-3 (BAM),2.5,V ugm-3 (Ref.eq),2.17,V ugm-3 (Ref.eq)
2023-01-07,03:00:00,-1,V ugm-3 (BAM),2.193,V ugm-3 (Ref.eq),2.146,V ugm-3 (Ref.eq)
2023-01-07,04:00:00,2,V ugm-3 (BAM),1.651,V ugm-3 (Ref.eq),1.769,V ugm-3 (Ref.eq)
2023-01-07,05:00:00,0,V ugm-3 (BAM),1.462,V ugm-3 (Ref.eq),1.651,V ugm-3 (Ref.eq)
2023-01-07,06:00:00,1,V ugm-3 (BAM),1.509,V ugm-3 (Ref.eq),1.698,V ugm-3 (Ref.eq)
2023-01-07,07:00:00,0,V ugm-3 (BAM),1.651,V ugm-3 (Ref.eq),2.123,V ugm-3 (Ref.eq)
2023-01-07,08:00:00,-2,V ugm-3 (BAM),2.17,V ugm-3 (Ref.eq),2.594,V ugm-3 (Ref.eq)
2023-01-07,09:00:00,1,V ugm-3 (BAM),1.58,V ugm-3 (Ref.eq),2.193,V ugm-3 (Ref.eq)
2023-01-07,10:00:00,2,V ugm-3 (BAM),1.203,V ugm-3 (Ref.eq),1.981,V ugm-3 (Ref.eq)
2023-01-07,11:00:00,2,V ugm-3 (BAM),1.439,V ugm-3 (Ref.eq),2.099,V ugm-3 (Ref.eq)
2023-01-07,12:00:00,6,V ugm-3 (BAM),1.816,V ugm-3 (Ref.eq),2.17,V ugm-3 (Ref.eq)
2023-01-07,13:00:00,4,V ugm-3 (BAM),1.509,V ugm-3 (Ref.eq),1.769,V ugm-3 (Ref.eq)
2023-01-07,14:00:00,0,V ugm-3 (BAM),1.038,V ugm-3 (Ref.eq),1.297,V ugm-3 (Ref.eq)
2023-01-07,15:00:00,1,V ugm-3 (BAM),1.368,V ugm-3 (Ref.eq),1.344,V ugm-3 (Ref.eq)
2023-01-07,16:00:00,3,V ugm-3 (BAM),1.958,V ugm-3 (Ref.eq),2.005,V ugm-3 (Ref.eq)
2023-01-07,17:00:00,3,V ugm-3 (BAM),3.066,V ugm-3 (Ref.eq),2.807,V ugm-3 (Ref.eq)
2023-01-07,18:00:00,3,V ugm-3 (BAM),1.981,V ugm-3 (Ref.eq),3.019,V ugm-3 (Ref.eq)
2023-01-07,19:00:00,4,V ugm-3 (BAM),1.462,V ugm-3 (Ref.eq),2.075,V ugm-3 (Ref.eq)
2023-01-07,20:00:00,5,V ugm-3 (BAM),1.887,V ugm-3 (Ref.eq),2.099,V ugm-3 (Ref.eq)
2023-01-07,21:00:00,4,V ugm-3 (BAM),3.208,V ugm-3 (Ref.eq),3.09,V ugm-3 (Ref.eq)
2023-01-07,22:00:00,3,V ugm-3 (BAM),4.198,V ugm-3 (Ref.eq),3.467,V ugm-3 (Ref.eq)
2023-01-07,23:00:00,3,V ugm-3 (BAM),3.656,V ugm-3 (Ref.eq),3.892,V ugm-3 (Ref.eq)
2023-01-07,24:00:00,4,V ugm-3 (BAM),4.269,V ugm-3 (Ref.eq),4.34,V ugm-3 (Ref.eq)
2023-01-08,01:00:00,5,V ugm-3 (BAM),5.118,V ugm-3 (Ref.eq),5.094,V ugm-3 (Ref.eq)
2023-01-08,02:00:00,6,V ugm-3 (BAM),5.825,V ugm-3 (Ref.eq),5.778,V ugm-3 (Ref.eq)
2023-01-08,03:00:00,5,V ugm-3 (BAM),4.717,V ugm-3 (Ref.eq),4.67,V ugm-3 (Ref.eq)
2023-01-08,04:00:00,5,V ugm-3 (BAM),3.75,V ugm-3 (Ref.eq),3.868,V ugm-3 (Ref.eq)
2023-01-08,05:00:00,3,V ugm-3 (BAM),3.113,V ugm-3 (Ref.eq),3.302,V ugm-3 (Ref.eq)
2023-01-08,06:00:00,1,V ugm-3 (BAM),2.406,V ugm-3 (Ref.eq),2.5,V ugm-3 (Ref.eq)
2023-01-08,07:00:00,0,V ugm-3 (BAM),1.392,V ugm-3 (Ref.eq),1.651,V ugm-3 (Ref.eq)
2023-01-08,08:00:00,1,V ugm-3 (BAM),0.542,V ugm-3 (Ref.eq),0.684,V ugm-3 (Ref.eq)
2023-01-08,09:00:00,0,V ugm-3 (BAM),0.755,V ugm-3 (Ref.eq),0.708,V ugm-3 (Ref.eq)
2023-01-08,10:00:00,0,V ugm-3 (BAM),1.84,V ugm-3 (Ref.eq),1.675,V ugm-3 (Ref.eq)
2023-01-08,11:00:00,2,V ugm-3 (BAM),2.335,V ugm-3 (Ref.eq),2.217,V ugm-3 (Ref.eq)
2023-01-08,12:00:00,2,V ugm-3 (BAM),3.797,V ugm-3 (Ref.eq),3.514,V ugm-3 (Ref.eq)
2023-01-08,13:00:00,5,V ugm-3 (BAM),4.481,V ugm-3 (Ref.eq),4.175,V ugm-3 (Ref.eq)
2023-01-08,14:00:00,4,V ugm-3 (BAM),2.075,V ugm-3 (Ref.eq),1.84,V ugm-3 (Ref.eq)
2023-01-08,15:00:00,3,V ugm-3 (BAM),1.769,V ugm-3 (Ref.eq),1.368,V ugm-3 (Ref.eq)
2023-01-08,16:00:00,3,V ugm-3 (BAM),1.179,V ugm-3 (Ref.eq),1.226,V ugm-3 (Ref.eq)
2023-01-08,17:00:00,2,V ugm-3 (BAM),2.005,V ugm-3 (Ref.eq),1.344,V ugm-3 (Ref.eq)
2023-01-08,18:00:00,5,V ugm-3 (BAM),2.241,V ugm-3 (Ref.eq),1.934,V ugm-3 (Ref.eq)
2023-01-08,19:00:00,4,V ugm-3 (BAM),3.656,V ugm-3 (Ref.eq),2.099,V ugm-3 (Ref.eq)
2023-01-08,20:00:00,3,V ugm-3 (BAM),5.33,V ugm-3 (Ref.eq),3.231,V ugm-3 (Ref.eq)
2023-01-08,21:00:00,6,V ugm-3 (BAM),4.953,V ugm-3 (Ref.eq),3.797,V ugm-3 (Ref.eq)
2023-01-08,22:00:00,5,V ugm-3 (BAM),5.118,V ugm-3 (Ref.eq),4.434,V ugm-3 (Ref.eq)
2023-01-08,23:00:00,4,V ugm-3 (BAM),5.755,V ugm-3 (Ref.eq),5.377,V ugm-3 (Ref.eq)
2023-01-08,24:00:00,5,V ugm-3 (BAM),5.401,V ugm-3 (Ref.eq),5.92,V ugm-3 (Ref.eq)
2023-01-09,01:00:00,4,V ugm-3 (BAM),5.118,V ugm-3 (Ref.eq),5.33,V ugm-3 (Ref.eq)
2023-01-09,02:00:00,3,V ugm-3 (BAM),4.104,V ugm-3 (Ref.eq),4.481,V ugm-3 (Ref.eq)
2023-01-09,03:00:00,4,V ugm-3 (BAM),4.316,V ugm-3 (Ref.eq),4.41,V ugm-3 (Ref.eq)
2023-01-09,04:00:00,4,V ugm-3 (BAM),4.316,V ugm-3 (Ref.eq),4.575,V ugm-3 (Ref.eq)
2023-01-09,05:00:00,6,V ugm-3 (BAM),4.764,V ugm-3 (Ref.eq),5.401,V ugm-3 (Ref.eq)
2023-01-09,06:00:00,4,V ugm-3 (BAM),3.656,V ugm-3 (Ref.eq),4.458,V ugm-3 (Ref.eq)
2023-01-09,07:00:00,2,V ugm-3 (BAM),3.726,V ugm-3 (Ref.eq),4.693,V ugm-3 (Ref.eq)
2023-01-09,08:00:00,4,V ugm-3 (BAM),3.019,V ugm-3 (Ref.eq),2.901,V ugm-3 (Ref.eq)
2023-01-09,09:00:00,6,V ugm-3 (BAM),2.311,V ugm-3 (Ref.eq),2.476,V ugm-3 (Ref.eq)
2023-01-09,10:00:00,5,V ugm-3 (BAM),1.108,V ugm-3 (Ref.eq),1.462,V ugm-3 (Ref.eq)
2023-01-09,11:00:00,6,V ugm-3 (BAM),2.783,V ugm-3 (Ref.eq),2.783,V ugm-3 (Ref.eq)
2023-01-09,12:00:00,5,V ugm-3 (BAM),5.212,V ugm-3 (Ref.eq),4.127,V ugm-3 (Ref.eq)
2023-01-09,13:00:00,5,V ugm-3 (BAM),4.245,V ugm-3 (Ref.eq),4.788,V ugm-3 (Ref.eq)
2023-01-09,14:00:00,4,V ugm-3 (BAM),4.717,V ugm-3 (Ref.eq),4.646,V ugm-3 (Ref.eq)
